time,bodyPosX_ref,bodyPosX_cur,bodyPosY_ref,bodyPosY_cur,bodyPosZ_ref,bodyPosZ_cur
0.914000,0.000000,-0.004093,-0.000000,0.000855,0.593700,0.590678
0.916000,0.000000,-0.004074,-0.000000,0.000855,0.593700,0.590757
0.918000,0.000000,-0.004055,-0.000000,0.000854,0.593700,0.590835
0.920000,0.000000,-0.004035,-0.000000,0.000854,0.593700,0.590912
0.922000,0.000000,-0.004016,-0.000000,0.000853,0.593700,0.590988
0.924000,0.000000,-0.003998,-0.000000,0.000853,0.593700,0.591063
0.926000,0.000000,-0.003979,-0.000000,0.000852,0.593700,0.591138
0.928000,0.000000,-0.003960,-0.000000,0.000852,0.593700,0.591212
0.930000,0.000000,-0.003942,-0.000000,0.000851,0.593700,0.591285
0.932000,0.000000,-0.003924,-0.000000,0.000851,0.593700,0.591358
0.934000,0.000000,-0.003906,-0.000000,0.000850,0.593700,0.591430
0.936000,0.000000,-0.003888,-0.000000,0.000850,0.593700,0.591501
0.938000,0.000000,-0.003870,-0.000000,0.000849,0.593700,0.591571
0.940000,0.000000,-0.003852,-0.000000,0.000849,0.593700,0.591641
0.942000,0.000000,-0.003835,-0.000000,0.000849,0.593700,0.591710
0.944000,0.000000,-0.003818,-0.000000,0.000848,0.593700,0.591779
0.946000,0.000000,-0.003801,-0.000000,0.000848,0.593700,0.591847
0.948000,0.000000,-0.003784,-0.000000,0.000847,0.593700,0.591914
0.950000,0.000000,-0.003767,-0.000000,0.000847,0.593700,0.591981
0.952000,0.000000,-0.003750,-0.000000,0.000846,0.593700,0.592046
0.954000,0.000000,-0.003733,-0.000000,0.000846,0.593700,0.592112
0.956000,0.000000,-0.003717,-0.000000,0.000845,0.593700,0.592176
0.958000,0.000000,-0.003701,-0.000000,0.000845,0.593700,0.592240
0.960000,0.000000,-0.003684,-0.000000,0.000845,0.593700,0.592304
0.962000,0.000000,-0.003668,-0.000000,0.000844,0.593700,0.592367
0.964000,0.000000,-0.003653,-0.000000,0.000844,0.593700,0.592429
0.966000,0.000000,-0.003637,-0.000000,0.000843,0.593700,0.592491
0.968000,0.000000,-0.003621,-0.000000,0.000843,0.593700,0.592552
0.970000,0.000000,-0.003606,-0.000000,0.000842,0.593700,0.592612
0.972000,0.000000,-0.003590,-0.000000,0.000842,0.593700,0.592672
0.974000,0.000000,-0.003575,-0.000000,0.000842,0.593700,0.592731
0.976000,0.000000,-0.003560,-0.000000,0.000841,0.593700,0.592790
0.978000,0.000000,-0.003545,-0.000000,0.000841,0.593700,0.592849
0.980000,0.000000,-0.003530,-0.000000,0.000840,0.593700,0.592906
0.982000,0.000000,-0.003516,-0.000000,0.000840,0.593700,0.592963
0.984000,0.000000,-0.003501,-0.000000,0.000840,0.593700,0.593020
0.986000,0.000000,-0.003487,-0.000000,0.000839,0.593700,0.593076
0.988000,0.000000,-0.003472,-0.000000,0.000839,0.593700,0.593132
0.990000,0.000000,-0.003458,-0.000000,0.000838,0.593700,0.593187
0.992000,0.000000,-0.003444,-0.000000,0.000838,0.593700,0.593241
0.994000,0.000000,-0.003430,-0.000000,0.000838,0.593700,0.593295
0.996000,0.000000,-0.003416,-0.000000,0.000837,0.593700,0.593349
0.998000,0.000000,-0.003403,-0.000000,0.000837,0.593700,0.593402
1.000000,0.000000,-0.003389,-0.000000,0.000836,0.593700,0.593454
1.002000,0.000000,-0.003376,-0.000000,0.000836,0.593700,0.593506
1.004000,0.000000,-0.003362,-0.000000,0.000836,0.593700,0.593558
1.006000,0.000000,-0.003349,-0.000000,0.000835,0.593700,0.593609
1.008000,0.000000,-0.003336,-0.000000,0.000835,0.593700,0.593659
1.010000,0.000000,-0.003323,-0.000000,0.000834,0.593700,0.593709
1.012000,0.000000,-0.003310,-0.000000,0.000834,0.593700,0.593759
1.014000,0.000000,-0.003297,-0.000000,0.000834,0.593700,0.593808
1.016000,0.000000,-0.003285,-0.000000,0.000833,0.593700,0.593857
1.018000,0.000000,-0.003272,-0.000000,0.000833,0.593700,0.593905
1.020000,0.000000,-0.003260,-0.000000,0.000833,0.593700,0.593953
1.022000,0.000000,-0.003247,-0.000000,0.000832,0.593700,0.594000
1.024000,0.000000,-0.003235,-0.000000,0.000832,0.593700,0.594047
1.026000,0.000000,-0.003223,-0.000000,0.000831,0.593700,0.594094
1.028000,0.000000,-0.003211,-0.000000,0.000831,0.593700,0.594140
1.030000,0.000000,-0.003199,-0.000000,0.000831,0.593700,0.594185
1.032000,0.000000,-0.003187,-0.000000,0.000830,0.593700,0.594230
1.034000,0.000000,-0.003176,-0.000000,0.000830,0.593700,0.594275
